ID,项目,包代号,楼栋,一级专业,二级专业,三级专业,清单名称,清单原始描述,特征1,特征2,特征3,特征4,特征5,单位,数量,综合单价,安装费,材料费,其它,合价,是否直接数据,分摊数据来源,特征分类,特征字典,大宗材料标志,招标时间,合同竣工时间,品牌库,使用品牌
P001,合肥滨湖项目,包1,1#楼,建筑工程,土方工程,挖填土,普通土方,三类土挖深2m,三类土,挖深2m,,,m³,1240,28.5,0,28.5,0,35340,是,,土方类,{三类土:28.5},否,2023-03-15,2024-06-30,本地土方公司,安徽建工
P002,合肥滨湖项目,包1,2#楼,建筑工程,土方工程,挖填土,普通土方,三类土挖深2m,三类土,挖深2m,,,m³,1100,29.2,0,29.2,0,32120,是,,土方类,{三类土:29.2},否,2023-03-15,2024-06-30,本地土方公司,安徽建工
P003,合肥滨湖项目,包2,1#楼,建筑工程,混凝土工程,现浇构件,C30商品混凝土,坍落度180±20,C30,坍落度180,,,m³,2560,485,25,460,0,1241600,是,,混凝土,{C30:485},是,2023-04-10,2024-06-30,海螺水泥,海螺
P004,合肥滨湖项目,包2,2#楼,建筑工程,混凝土工程,现浇构件,C30商品混凝土,坍落度180±20,C30,坍落度180,,,m³,2400,492,25,467,0,1180800,是,,混凝土,{C30:492},是,2023-04-10,2024-06-30,海螺水泥,海螺
P005,合肥滨湖项目,包3,1#楼,装饰工程,地面工程,地砖铺设,防滑地砖800x800,防滑等级R10,800x800,防滑R10,,,m²,890,78.5,12,66.5,0,69865,是,,地砖,{800x800防滑:78.5},否,2023-05-20,2024-08-15,马可波罗,马可波罗
P006,合肥滨湖项目,包3,2#楼,装饰工程,地面工程,地砖铺设,防滑地砖800x800,防滑等级R10,800x800,防滑R10,,,m²,820,80.2,12,68.2,0,65764,是,,地砖,{800x800防滑:80.2},否,2023-05-20,2024-08-15,东鹏,东鹏
P007,合肥滨湖项目,包4,1#楼,安装工程,电气工程,配管配线,BV2.5mm²电线,铜芯阻燃,BV2.5,铜芯,阻燃,,m,3500,1.85,0.2,1.65,0,6475,是,,电线,{BV2.5:1.85},否,2023-06-10,2024-07-31,远东电缆,远东
P008,合肥滨湖项目,包4,2#楼,安装工程,电气工程,配管配线,BV2.5mm²电线,铜芯阻燃,BV2.5,铜芯,阻燃,,m,3200,1.92,0.2,1.72,0,6144,是,,电线,{BV2.5:1.92},否,2023-06-10,2024-07-31,上上电缆,上上
P009,合肥滨湖项目,包5,1#楼,建筑工程,砌筑工程,砖墙,MU10页岩砖,强度等级MU10,MU10,页岩砖,,,m³,420,320,15,305,0,134400,是,,砖,{MU10:320},否,2023-07-05,2024-09-30,本地砖厂,合肥砖业
P010,合肥滨湖项目,包5,2#楼,建筑工程,砌筑工程,砖墙,MU10页岩砖,强度等级MU10,MU10,页岩砖,,,m³,390,328,15,313,0,127920,是,,砖,{MU10:328},否,2023-07-05,2024-09-30,本地砖厂,合肥砖业
P011,南京江北项目,包A,3#楼,建筑工程,土方工程,挖填土,普通土方,三类土挖深2.5m,三类土,挖深2.5m,,,m³,1500,30.5,0,30.5,0,45750,是,,土方类,{三类土:30.5},否,2023-08-01,2024-12-31,南京土方公司,南京建工
P012,南京江北项目,包B,3#楼,建筑工程,混凝土工程,现浇构件,C30商品混凝土,坍落度180±20,C30,坍落度180,,,m³,2100,498,25,473,0,1045800,是,,混凝土,{C30:498},是,2023-08-15,2024-12-31,海螺水泥,海螺
P013,南京江北项目,包C,3#楼,装饰工程,地面工程,地砖铺设,防滑地砖800x800,防滑等级R10,800x800,防滑R10,,,m²,750,82.5,12,70.5,0,61875,是,,地砖,{800x800防滑:82.5},否,2023-09-10,2025-01-31,诺贝尔,诺贝尔
P014,南京江北项目,包D,3#楼,安装工程,电气工程,配管配线,BV2.5mm²电线,铜芯阻燃,BV2.5,铜芯,阻燃,,m,2800,1.98,0.2,1.78,0,5544,是,,电线,{BV2.5:1.98},否,2023-09-20,2025-01-31,江南电缆,江南
P015,杭州亚运项目,包X,体育馆,建筑工程,钢结构工程,钢梁,H型钢200x200,Q235B,H200x200,Q235B,,,t,15.5,5680,280,5400,0,88040,是,,钢材,{H200x200:5680},是,2022-10-10,2023-08-31,宝钢,宝钢
P016,杭州亚运项目,包X,体育馆,建筑工程,钢结构工程,钢柱,方钢管200x200x8,Q355B,200x200x8,Q355B,,,t,22.3,6250,320,5930,0,139375,是,,钢材,{200x200x8:6250},是,2022-10-10,2023-08-31,宝钢,宝钢
P017,杭州亚运项目,包Y,游泳馆,装饰工程,墙面工程,乳胶漆,内墙乳胶漆,环保净味,环保,净味,,,m²,1250,22.5,3,19.5,0,28125,是,,涂料,{乳胶漆:22.5},否,2022-11-05,2023-09-30,立邦,立邦
P018,杭州亚运项目,包Z,游泳馆,安装工程,给排水工程,管道安装,PPR给水管DN20,工作压力1.0MPa,PPR,DN20,1.0MPa,,m,680,8.6,1.2,7.4,0,5848,是,,管材,{PPR DN20:8.6},否,2022-11-20,2023-09-30,伟星,伟星
P019,上海临港项目,包1,研发楼,建筑工程,土方工程,回填土,素土回填,夯实系数0.94,素土,夯实0.94,,,m³,980,18.2,0,18.2,0,17836,是,,土方类,{素土:18.2},否,2024-01-10,2025-06-30,上海土方公司,上海建工
P020,上海临港项目,包2,研发楼,建筑工程,混凝土工程,预制构件,预制叠合板,C30含钢筋,预制叠合板,C30,含钢筋,,m³,185,1250,80,1170,0,231250,是,,预制构件,{叠合板:1250},是,2024-01-20,2025-06-30,上海建工,上海建工
P021,上海临港项目,包3,研发楼,装饰工程,地面工程,水泥砂浆找平,1:2.5水泥砂浆,厚度30mm,1:2.5,厚30mm,,,m²,760,14.5,2.5,12,0,11020,是,,砂浆,{水泥砂浆:14.5},否,2024-02-15,2025-07-31,本地砂浆厂,上海砂浆
P022,上海临港项目,包4,研发楼,安装工程,电气工程,配电箱,照明配电箱,8回路,8回路,配电箱,,,台,12,320,20,300,0,3840,是,,电气,{配电箱8回路:320},否,2024-03-01,2025-07-31,正泰,正泰
