一级专业,二级专业,三级专业,编号,单位,名称,数量,特征
建筑工程,土方工程,挖填土,CL-0001,m³,普通土方,1240,三类土 挖深2m
建筑工程,混凝土工程,现浇构件,CL-0002,m³,C30商品混凝土,2560,坍落度180±20
装饰工程,地面工程,地砖铺设,CL-0003,m²,防滑地砖800x800,890,防滑等级R10
安装工程,电气工程,配管配线,CL-0004,m,BV2.5mm²电线,3500,铜芯阻燃
建筑工程,砌筑工程,砖墙,CL-0005,m³,MU10页岩砖,420,强度等级MU10
装饰工程,墙面工程,乳胶漆,CL-0006,m²,内墙乳胶漆,1250,环保净味
安装工程,给排水工程,管道安装,CL-0007,m,PPR给水管DN20,680,工作压力1.0MPa
建筑工程,钢结构工程,钢梁,CL-0008,t,H型钢200x200,15.5,Q235B
装饰工程,吊顶工程,轻钢龙骨,CL-0009,m²,石膏板吊顶,520,12mm厚
安装工程,暖通工程,风管安装,CL-0010,m²,镀锌风管,340,镀锌层80g
建筑工程,土方工程,回填土,CL-0011,m³,素土回填,980,夯实系数0.94
建筑工程,混凝土工程,预制构件,CL-0012,m³,预制叠合板,185, C30 含钢筋
装饰工程,地面工程,水泥砂浆找平,CL-0013,m²,1:2.5水泥砂浆,760,厚度30mm
安装工程,电气工程,配电箱,CL-0014,台,照明配电箱,12, 8回路
建筑工程,砌筑工程,加气块墙,CL-0015,m³,A5.0加气混凝土砌块,310, 厚度200mm
装饰工程,墙面工程,瓷砖墙面,CL-0016,m²,釉面砖300x600,430, 吸水率<0.5%
安装工程,给排水工程,排水管,CL-0017,m,PVC-U排水管DN110,520, 实壁管
建筑工程,钢结构工程,钢柱,CL-0018,t,方钢管200x200x8,22.3,Q355B
装饰工程,吊顶工程,铝扣板吊顶,CL-0019,m²,铝扣板300x300,280, 厚度0.8mm
安装工程,暖通工程,散热器,CL-0020,片,钢制散热器,180, 中心距600
建筑工程,土方工程,余方弃置,CL-0021,m³,渣土外运,760, 运距15km
建筑工程,混凝土工程,后浇带,CL-0022,m³,微膨胀混凝土,95, 膨胀率0.03%
装饰工程,地面工程,环氧地坪,CL-0023,m²,自流平环氧,320, 2mm厚
安装工程,电气工程,电缆桥架,CL-0024,m,槽式桥架200x100,210, 热镀锌
建筑工程,砌筑工程,构造柱,CL-0025,m³,C25混凝土,64, 含钢筋
装饰工程,墙面工程,软包墙面,CL-0026,m²,布艺软包,115, 阻燃B1级
安装工程,给排水工程,水龙头,CL-0027,个,单冷面盆龙头,95, 铜合金
建筑工程,钢结构工程,预埋件,CL-0028,t,钢板预埋件,4.2,Q235B 10mm厚
装饰工程,吊顶工程,矿棉板吊顶,CL-0029,m²,矿棉吸音板,410, 15mm厚
安装工程,暖通工程,风机盘管,CL-0030,台,卧式暗装,32, 制冷量3.5kW
建筑工程,土方工程,地基处理,CL-0031,m³,碎石垫层,540, 级配碎石
建筑工程,混凝土工程,基础混凝土,CL-0032,m³,C35抗渗混凝土,820, P6抗渗
装饰工程,地面工程,实木地板,CL-0033,m²,橡木地板,210, 18mm厚
安装工程,电气工程,开关插座,CL-0034,个,五孔插座,460, 10A 白色
建筑工程,砌筑工程,过梁,CL-0035,m³,C20混凝土过梁,38, 含钢筋
装饰工程,墙面工程,墙纸,CL-0036,m²,无纺布墙纸,550, 环保胶
安装工程,给排水工程,地漏,CL-0037,个,不锈钢地漏,120, DN50 防臭
建筑工程,钢结构工程,檩条,CL-0038,t,C型钢檩条,11.8,Q235B 镀锌
装饰工程,吊顶工程,格栅吊顶,CL-0039,m²,铝格栅,175, 间距100x100
安装工程,暖通工程,风口,CL-0040,个,双层百叶风口,85, 铝合金
建筑工程,土方工程,基坑支护,CL-0041,m²,土钉墙,420, 6m土钉
建筑工程,混凝土工程,楼梯混凝土,CL-0042,m³,C30混凝土楼梯,76, 现浇
装饰工程,地面工程,橡胶地板,CL-0043,m²,同质透心橡胶,195, 2mm厚
安装工程,电气工程,灯具,CL-0044,套,LED平板灯,130, 600x600 40W
建筑工程,砌筑工程,女儿墙,CL-0045,m³,M7.5砂浆砌砖,52, 含压顶
装饰工程,墙面工程,石材干挂,CL-0046,m²,花岗岩25mm,98, 火烧面
安装工程,给排水工程,阀门,CL-0047,个,闸阀DN50,45, 铜芯
建筑工程,钢结构工程,楼梯栏杆,CL-0048,m,不锈钢栏杆,68, 304材质
装饰工程,吊顶工程,软膜天花,CL-0049,m²,透光软膜,42, 白色
安装工程,暖通工程,消声器,CL-0050,个,管式消声器,15, 长度1m
